id;Título;Ano;Autores;Nacionalidade do 1º autor;Instituição do 1º autor;Estado da Instituição;Revista;Fator de impacto;freq;Qualis da revista;Palavras chave;Local do estudo (coordenada ou/e subregião);Fitofisionomia (s);Grupo taxonomico;Utilizou fogo experimental;Utilizou histórico de incêndio ;Avaliou um unico evento de incêndio;Apenas citou o fogo;Forma de obtenção dos dados;Principais conclusões;Observações;;;;;;;
4;"Cerrado, Caatinga and Pantanal: The Distribution and Origin of the Savanna Vegetation of
Brazil";1960;M. M. Cole;Britânica;Royal Holloway and Bedford New College;Inglaterra;The Geographical Journal;3.288;1;;savanna, cerrado, caatinga, pantanal, distribution;Savanas no Brasil;Biomas;Plantas;não;não;não;sim;Observação de campo, descritvo;A distribuição das fitofisionomias de savana dependem da evolução geomorfológica e das condições climáticas e coloca o fogo e o pastejo como agentes antrópicos que podem alterar o estágio sucessional;;;;;;;;
54;PRELIMINARY-STUDY OF SOME VEGETATION TYPES OF THE PANTANAL, MATO-GROSSO, BRAZIL;1982;"PRANCE, GT; SCHALLER, GB";Britânica;Royal Botanic Gardens;Reino Unido;Brittonia;-;1;;;17°45'S, 57°37'W;vários;Plantas;não;não;não;sim;coleta de campo;-;trabalho é extremamente descritivo e cita o fogo apenas como um fator do Pantanal.;;;;;;;
5;Observations of atmospheric methane and carbon monoxide in Brazil: SCAR-B mission;1998;Plinio C. Alvala and Volker W.J.H. Kirchhoff;Brasileira;INPE;SP;Journal of Geophysical Research: Atmosphere;5.22;1;;metano, monoxido carbono, emission;10.4, S, 57 W;- ;-;não;não;sim;não;coleta de amostras com aeronave;Apresenta correlação positiva entre maiores taxas de CH4 e CO com a queima de biomassa;;;;;;;;
6;The nature and diversity of neotropical savanna vegetation with particular reference to the Brazilian cerrados;1999;PETER A. FURLEY;Britânica;University of Edinburgh;Inglaterra;Global Ecology and Biogeography;7.144;1;;"Neotropical savannas, biogeographical, zones, cerrados, plant diversity, palaeoecology,  topography, drainage, soil nutrients, fire, Brazil.
";Savanas no Brasil;Cerrado;Plantas;não;não;não;sim;Observação de campo, descritvo;A diversidade no Cerrado, que antes era considerada restrita, este trabalho mostra grande diversidade devido a um padrão espacial em constante mudança provocados por topografia e drenagem, condições do solo e frequência de fogo;;;;;;;;
53;Composition and aerial biomass dynamics after burning of a grassy-woody Savanna in the Pantanal wetlands;2000;"Cardoso, EL; Crispim, SMA; Rodrigues, CAG; Junior, WB";Brasileira;EMBRAPA;MS;PESQUISA AGROPECUARIA BRASILEIRA;-;1;;"queimada; cobertura do solo; pastagem nativa; gramíneas; espécies; dicotiledôneas; ciperáceas; manejo de pastagem";18°59' S, 56°37' W;savana gramíneo-lenhosa;gramíneas;sim;não;não;não;coleta de campo;A queima reduz a freqüência das gramíneas que predominam na savana gramíneo-lenhosa e aumenta o número de espécies de dicotiledôneas e ciperáceas. A queima condiciona menor produção de biomassa aérea total, sendo a biomassa morta a mais prejudicada, uma vez que mesmo 11 meses após a queima a produção é ainda muito baixa, representando aproximadamente 25% da obtida na área sem queima. O solo permanece excessivamente exposto após a queima e somente depois de quatro meses assemelha-se às condições da área sem queima.;;;;;;;;
7;Aboveground standing crop of an ungrazed Elyonurus muticus grassland under annual burning in the Pantanal, Brazil;2001;E.L. Cardoso, S.M.A. Crispim, C.A.G. Rodrigues;Brasileira;EMBRAPA;MS; XIX International Grassland Congress ;;1;;dry matter production, fire, native pastures, natural pastures management, savanna;Nhecolândia;Campo;Herbáceas;sim;não;sim;não;experimento com fogo controlado e controle;A queima reduz a biomassa acima do solo de gramíneas e aumenta a biomassa de forbs em pastagens não pastoreadas de Elyonurus muticus. No entanto, sua reincidência evidenciou uma tendência de redução da cultura em pé.;;;;;;;;
8;Effects of burning on the aerial biomass dynamics of a native field in the Pantanal;2003;Evaldo Luis CardosoSandra Mara Araújo CrispimCristina Aparecida Gonçalves RodriguesWaldomiro Barioni Júnior;Brasileira;EMBRAPA;MS;Pesq. agropec. bras;;1;; Andropogon bicornis, planta herbácea, estrato vegetal, pastagem nativa, manejo de pastagens.;Nhecolândia;Campo;Herbáceas;sim;não;sim;não;experimento com fogo controlado e controle; A queima do campo nativo com predomínio de Andropogon bicornis afeta a produção e dinâmica da biomassa aérea, reduz a matéria seca e elimina quase totalmente a fitomassa seca, durante os meses subseqüentes à queima;;;;;;;;
9;Year-to-year changes in water level drive the invasion of Vochysia divergens in Pantanal grasslands;2004;Nunes da Cunha, C.1 & Junk, W.J.;Brasileira;UFMT;MT;Applied Vegetation Science;3.252;1;;"Brazil; Floodplain; Flood pulse; Invasive tree; Vochysia divergens";Pirizal 16°15' 24'' S, 56°36' 24'' W;savana parque;Vochysiaceae;não;sim;sim;não;observação de campo;A espécie consegue se estabelecer em anos de cheia e é restringido por anos de seca e muito impactado pela ocorrência de incêndios florestais;;;;;;;;
10;Flooded native pastures of the northern region of the Pantanal of Mato Grosso: biomass and primary productivity variations;2004;POZER, C. G. and NOGUEIRA, F.;Brasileira;UFMT;MT;Braz. J. Biol.;1.32;1;;native pastures, Pantanal, biomass, productivity;Nossa Senhora do Livramento MT;Campo;Herbáceas;não;não;não;sim;coleta de campo;A produção primária é fortemente influenciada pela chuva e a presença do gado. A presença do gado diminui os riscos de incêndios florestais. Áreas onde há restrições de acesso ao gado, são mais vulneráveis ao fogo;;;;;;;;
11;Characterizing vegetation fire dynamics in Brazil through multisatellite data: Common trends and practical issues;2005;"Schroeder, Wilfrid; Morisette, Jeffrey T.; Csiszar, Ivan; Giglio, Louis; Morton, Douglas; Justice, Christopher O.";EUA;University of Maryland;Maryland;Earth Interactions;2.769;1;;"Vegetation fire; Fire monitoring; Brazilian Amazon";Bioma;- ;-;não;sim;não;não;Sensoriamento remoto;Análises de eventos de fogo utilizando apenas um satélite pode levar a imprecisões sobre a dinâmica na ocorrência de incêndios florestais. Recomenda-se o uso de múltiplos sensores para melhor caracterização desta dinâmica.;;;;;;;;
